"date","dow","death","pm10tmean","pm25tmean","o3tmean","so2tmean","no2tmean","cotmean","tmpd","dptp","rhum"
1987-01-01,"Thursday",130,-7.433544304,NA,-19.59233786,1.8601395013,-5.892537063,-8.525945292,31.5,31.5,95.5
1987-01-02,"Friday",150,NA,NA,-19.03861366,-0.486516766,-2.965443467,149.41569482,33,29.875,88.25
1987-01-03,"Saturday",101,-1.550923086,NA,-20.21733786,-1.297843611,-1.876477173,176.05738804,33,27.375,89.5
1987-01-04,"Sunday",135,5.5664556962,NA,-19.6756712,6.3948687348,5.1176721579,532.58516582,29,28.625,84.5
1987-01-05,"Monday",126,NA,NA,-19.21733786,2.0546809513,3.4565972901,348.55738804,32,28.875,74.5
1987-01-06,"Tuesday",130,6.5664556962,NA,-17.63400453,10.608822437,-0.023146518,-144.007914,40,35.125,77.375
1987-01-07,"Wednesday",129,-0.433544304,NA,-15.37439797,-4.38481338,-6.183792093,-64.51576562,34.5,26.75,74.5
1987-01-08,"Thursday",109,-5.433544304,NA,-12.17052725,-5.107941432,-9.441927822,-251.202713,29,22,77.875
1987-01-09,"Friday",125,-2.040847239,NA,-20.09233786,0.1822373332,-2.580542709,-4.242698152,26.5,29,95.125
1987-01-10,"Saturday",153,NA,NA,-18.58028032,-2.046929333,-6.195811888,-210.4703897,32.5,27.75,81.875
1987-01-11,"Sunday",124,-19.4335443,NA,-5.712193917,-1.60099878,-11.34164522,-600.0956893,29.5,20.125,77.25
1987-01-12,"Monday",111,-15.4335443,NA,-15.62886058,2.937930625,9.2208547782,791.86841296,34.5,26,79
1987-01-13,"Tuesday",104,11.566455696,NA,-17.04552725,6.3621805434,14.52797475,378.39619074,34,32.25,74.625
1987-01-14,"Wednesday",118,1.5664556962,NA,-18.62886058,10.59850517,8.9602438701,250.08516582,37.5,36.375,94.25
1987-01-15,"Thursday",109,-7.452417017,NA,-18.71219392,-1.737474395,-5.10614487,251.82511511,32.5,24.25,75.375
1987-01-16,"Friday",125,-22.4335443,NA,-15.00386058,-3.153813391,-4.831848839,84.807692298,25,21.5,80.75
1987-01-17,"Saturday",128,NA,NA,-17.37886058,1.8072373332,-3.369022423,-67.92709188,27,24.75,89.125
1987-01-18,"Sunday",141,-2.433544304,NA,-17.00386058,0.5626919865,-2.302355757,15.59404479,17.5,11.125,87.25
1987-01-19,"Monday",130,-9.433544304,NA,-7.63400453,-0.718613289,-6.500181844,-169.9615108,23,15.75,70.375
1987-01-20,"Tuesday",133,-3.433544304,NA,-18.41361366,0.6816042276,-2.764695595,-40.65595521,20.5,11.5,72.125
1987-01-21,"Wednesday",115,-2.401652863,NA,-16.9933238,4.9730258914,-1.00268187,-27.0448441,22,20.625,72.75
1987-01-22,"Thursday",121,10.566455696,NA,-12.62886058,0.1276614393,-7.46751654,-167.2026627,19.5,7.375,67.75
1987-01-23,"Friday",107,13.566455696,NA,-7.925671197,-0.069308258,-9.615342627,-166.2115108,2.5,-12.25,50
1987-01-24,"Saturday",123,-3.433544304,NA,-12.25900453,-1.964510278,-6.12367596,-149.6370564,2,-5.625,53.25
1987-01-25,"Sunday",107,NA,NA,-15.79552725,-1.161053994,0.47632404,-69.6370564,9.5,-5.25,47.125
1987-01-26,"Monday",116,29.566455696,NA,-18.75900453,1.1180034604,7.6409879645,542.07290812,16,4.75,61.25
1987-01-27,"Tuesday",130,1.9285282263,NA,-19.83719392,7.8525054606,4.4854122035,-16.9350362,17.5,17.75,84.25
1987-01-28,"Wednesday",114,5.5664556962,NA,-16.71733786,0.0432131194,3.901253598,290.89866569,29.5,18.25,71.375
1987-01-29,"Thursday",123,-6.433544304,NA,-20.06825452,4.3235199533,2.9518351161,3.4360566871,29.5,32.875,96.5
1987-01-30,"Friday",103,17.566455696,NA,-14.58719392,3.3410452777,-5.642374172,-180.9093648,32.5,24.125,68.5
1987-01-31,"Saturday",115,-5.433544304,NA,-15.24694699,0.1874479048,-0.452087796,-90.288203,27.5,26.5,76
1987-02-01,"Sunday",127,NA,NA,-17.58028032,3.6643779928,-4.12182181,-262.0937586,41,32.25,79.25
1987-02-02,"Monday",131,5.838868463,NA,-19.95528032,2.4393389302,5.6381899813,357.05397843,36.5,34,71.75
1987-02-03,"Tuesday",112,17.566455696,NA,-15.17052725,-2.373326703,-5.306515586,-37.29825371,34,26.25,79.875
1987-02-04,"Wednesday",126,-3.070220428,NA,-13.83373712,-0.407481911,1.9309154417,496.80998415,31.5,24.25,74.625
1987-02-05,"Thursday",127,28.566455696,NA,-19.16707045,5.5453305671,9.5472197895,1320.7092718,29.5,27.25,84.75
1987-02-06,"Friday",103,21.566455696,NA,-18.82377335,-1.159774317,2.5339189989,229.76071146,37,30.375,69.75
1987-02-07,"Saturday",128,2.5664556962,NA,-19.22957045,2.3790755089,-0.885710699,72.816267012,40.5,35.75,71.625
1987-02-08,"Sunday",133,-17.14958498,NA,0.4995962132,-0.482367421,-15.96894452,-761.5328874,32.5,3.5,44.625
1987-02-09,"Monday",115,0.5664556962,NA,-15.31290379,2.0207812382,0.2117924946,10.316267012,24.5,17.375,55.125
1987-02-10,"Tuesday",124,-5.433544304,NA,-16.50040379,2.9018198855,4.6594252657,291.55996359,35,27.375,74
1987-02-11,"Wednesday",117,41.566455696,NA,-16.88652039,4.0078123363,15.671459242,1650.8301153,39.5,29.375,69.5
1987-02-12,"Thursday",116,42.566455696,NA,-17.47957045,-1.447488415,9.2493010924,965.50183249,34,24.75,75.625
1987-02-13,"Friday",128,-2.433544304,NA,-14.24225161,1.0992038637,7.501953812,386.39335642,34.5,30.875,71.625
1987-02-14,"Saturday",119,-11.91746311,NA,-13.50040379,-3.565368936,-4.231841349,-213.0659808,31.5,22,76.25
1987-02-15,"Sunday",115,-29.4335443,NA,3.6662628798,-4.537591158,-15.03470078,-443.994452,23.5,10.125,58.5
1987-02-16,"Monday",107,-27.4335443,NA,-0.250403787,-4.026556115,-9.994423,-382.024755,24,18.125,66.5
1987-02-17,"Tuesday",111,-18.4335443,NA,0.4995962132,-4.344215089,-6.780452461,-168.800779,31.5,20.25,63.125
1987-02-18,"Wednesday",116,-14.4335443,NA,-0.267613932,-1.242799178,3.7532776982,151.70986621,31.5,20,63.625
1987-02-19,"Thursday",115,7.5664556962,NA,-8.915258859,5.8566227733,19.795936428,876.82522902,34,19.625,59.625
1987-02-20,"Friday",124,33.099694846,NA,-16.20873712,9.8132674999,23.83785931,1149.9627967,32.5,17,41.5
1987-02-21,"Saturday",119,17.566455696,NA,-20.85457045,8.6198944858,13.248880413,326.83888133,38,24.5,50.75
1987-02-22,"Sunday",126,4.5664556962,NA,-13.79207045,0.9104897222,-4.567850396,-249.0593988,35.5,25.125,67.375
1987-02-23,"Monday",147,5.5664556962,NA,-11.35457045,-1.777498015,5.8319658893,379.90600002,35.5,24.75,64.625
1987-02-24,"Tuesday",118,6.5664556962,NA,-11.54207045,-1.08579454,11.528424351,1022.9171255,31.5,25.25,69.625
1987-02-25,"Wednesday",138,6.5664556962,NA,-7.250403787,2.546495099,11.603476111,144.92764945,34.5,21.875,52.875
1987-02-26,"Thursday",119,-7.185191079,NA,-8.354570453,7.0893131793,5.9487142061,-33.15595521,36,18.5,45
1987-02-27,"Friday",100,14.566455696,NA,-10.06290379,8.5604639712,7.1788729363,101.68622622,39.5,28.25,57.125
1987-02-28,"Saturday",119,-10.4335443,NA,-17.41707045,-2.107035602,-2.648508016,-192.692612,40,38.375,94.5
1987-03-01,"Sunday",123,-26.4335443,NA,-9.067070453,-4.270065833,-6.916274003,-252.3305378,39,28.375,77.375
1987-03-02,"Monday",125,-5.433544304,NA,-3.625403787,2.6485849602,-4.619759686,-390.8365657,41,27.875,55.375
1987-03-03,"Tuesday",124,-9.433544304,NA,-4.70873712,-3.673663206,0.9921961293,451.30335085,36.5,14.875,42.5
1987-03-04,"Wednesday",113,4.1020099041,NA,-18.85457045,1.2818532867,11.194837108,466.91508954,38,26.75,46.125
1987-03-05,"Thursday",125,-11.4335443,NA,-10.64623712,3.6249544457,3.6027992226,108.04604192,44,34.375,71.875
1987-03-06,"Friday",108,34.566455696,NA,-15.19333857,5.581767786,18.948744731,1593.338971,48.5,39.5,59.375
1987-03-07,"Saturday",114,7.5664556962,NA,1.1454295465,3.5197759597,14.497993854,455.51780333,59.5,36.875,44.5
1987-03-08,"Sunday",109,19.566455696,NA,7.0204295465,0.0017991319,12.35216052,120.0007087,54.5,33.625,62.625
1987-03-09,"Monday",126,-16.4335443,NA,5.3954295465,-5.988348734,-11.59602719,-177.1979524,31,14,59.625
1987-03-10,"Tuesday",113,-16.84910079,NA,3.9370962132,-4.449979678,-5.401859429,-217.3747221,25.5,13.625,57.25
1987-03-11,"Wednesday",112,-3.433544304,NA,-4.667070453,2.4323215954,3.706883112,209.09622985,28.5,17,63.625
1987-03-12,"Thursday",125,30.566455696,NA,-3.979570453,1.5596443115,14.666719744,607.3987866,33.5,22.375,55.75
1987-03-13,"Friday",128,5.5664556962,NA,-1.95873712,-0.559207248,6.218736939,-106.9289724,34,33.125,88.75
1987-03-14,"Saturday",106,7.5664556962,NA,-6.479570453,-0.340329873,1.7076344257,115.64072137,37,33,97.125
1987-03-15,"Sunday",113,NA,NA,12.457929547,-0.585622007,-7.667365574,-418.2260654,35,24.5,60.75
1987-03-16,"Monday",117,-9.508417661,NA,11.934378822,-1.426251005,-2.41042113,-265.0645132,37.5,17.875,41.875
1987-03-17,"Tuesday",127,13.566455696,NA,3.3745962132,1.8856082805,1.831327187,-261.0020278,38.5,19.375,39.5
1987-03-18,"Wednesday",120,21.566455696,NA,-4.128860583,2.7865744641,6.6415502191,-123.4262702,39.5,30.25,66.625
1987-03-19,"Thursday",121,-9.433544304,NA,7.2376914513,4.9883882729,7.7393393506,25.991781774,41.5,26.125,59.375
1987-03-20,"Friday",127,-13.4335443,NA,10.544719676,NA,10.708075239,683.90088561,43,16.625,40.125
1987-03-21,"Saturday",120,-1.433544304,NA,12.12805301,6.2293586532,19.199251618,312.95762834,43.5,22.5,37
1987-03-22,"Sunday",100,1.4420726138,NA,11.586386343,2.2918586532,8.9061542212,-341.2090383,48,32.375,53.375
1987-03-23,"Monday",125,28.566455696,NA,7.0162628798,3.2416469279,7.1182319297,-36.14273211,53.5,35.25,41.625
1987-03-24,"Tuesday",132,16.566455696,NA,1.1870962132,6.3690748907,4.6809473701,26.18548681,57.5,46.125,75
1987-03-25,"Wednesday",134,-27.4335443,NA,-9.562903787,-4.088315795,-1.797827212,-219.0330625,45,40.125,90.125
1987-03-26,"Thursday",107,1.5664556962,NA,-9.320479544,-3.114940687,-1.501072817,-1.663820865,45,40.25,86.625
1987-03-27,"Friday",102,5.5664556962,NA,-7.812903787,-1.127288674,7.0508381304,459.39072137,43,38.5,78.875
1987-03-28,"Saturday",128,-2.762280416,NA,-4.167070453,0.1088224373,5.0674382981,274.34343952,46,35,76.75
1987-03-29,"Sunday",101,-4.433544304,NA,-3.465681565,-4.006176945,-3.269885963,-389.9611305,39.5,30.125,89.75
1987-03-30,"Monday",125,-14.4335443,NA,5.9995962132,-6.094908434,-5.174689836,84.44813098,29,12.875,52.75
1987-03-31,"Tuesday",106,1.5664556962,NA,0.2803365934,-2.937552095,-0.697929728,-183.3733465,30,19,49.625
1987-04-01,"Wednesday",119,-5.433544304,NA,-2.362320777,0.1103557021,-5.432259686,-400.1256522,41.5,22.875,58.125
1987-04-02,"Thursday",91,2.5664556962,NA,-1.510382249,-2.964510278,-2.612392536,-197.7535079,29.5,14.625,54.5
1987-04-03,"Friday",120,-15.38019522,NA,-6.857532508,-2.363399785,10.824888565,346.13589046,28,17.375,58
1987-04-04,"Saturday",123,-15.4335443,NA,4.7688879466,-2.349510896,-4.429848067,-319.9472939,35.5,17.125,37.875
1987-04-05,"Sunday",108,-23.4335443,NA,12.278000323,-4.051480047,-11.76589504,-606.3037231,43.5,33,63.625
1987-04-06,"Monday",117,-22.4335443,NA,8.1465886969,-3.699549959,-4.587285115,-113.6445535,50,21.25,30.375
1987-04-07,"Tuesday",134,-13.4335443,NA,2.1810760575,-3.143994403,4.0840408223,-108.8756522,49.5,30.875,53.25
1987-04-08,"Wednesday",120,-22.4335443,NA,-2.043612053,-4.326440984,2.8702285227,12.441057136,40,31.375,74.25
1987-04-09,"Thursday",120,41.959032312,NA,-7.918186175,15.562256709,31.925269302,1470.8762875,50,28.5,31.25
1987-04-10,"Friday",110,27.566455696,NA,-1.523827661,6.0532668817,13.941769762,-87.38460351,59.5,44.875,76.25
1987-04-11,"Saturday",111,-17.4335443,NA,5.5066449244,-3.099510896,-1.002372667,-163.1456283,51,45.625,95
1987-04-12,"Sunday",129,-4.433544304,NA,2.4124143361,-4.221014605,1.9333461804,-46.38694687,49.5,43.125,78.625
1987-04-13,"Monday",93,5.5664556962,NA,-5.445075835,1.3598067873,10.785114037,66.437705034,48,47.25,76
1987-04-14,"Tuesday",140,-8.433544304,NA,-9.897456787,-2.430693853,8.0976140367,217.27103837,52.5,51.5,96
1987-04-15,"Wednesday",106,-4.99446487,NA,-6.153061854,-2.796758869,6.0218752964,202.11016408,51.5,50.125,96.875
1987-04-16,"Thursday",110,-15.13186649,NA,-1.164966616,-2.704257824,6.3729900977,-31.8956283,54,49.25,85.75
1987-04-17,"Friday",115,1.5664556962,NA,-4.057823759,4.2032411308,18.559014717,577.11016408,57.5,47,62.75
1987-04-18,"Saturday",106,64.566455696,NA,7.7606835173,7.3957812382,27.825269302,970.02683075,61.5,49.875,53
1987-04-19,"Sunday",105,NA,NA,8.9868739935,2.3799084156,17.326780703,1137.687705,64,53,57
1987-04-20,"Monday",120,13.566455696,NA,17.80330951,2.3929643978,16.054188112,19.193497414,71,55.75,45.625
1987-04-21,"Tuesday",97,0.1250241083,NA,-2.985590609,-2.528373351,-5.986007487,-284.1484375,56,39,83.375
1987-04-22,"Wednesday",136,-13.4335443,NA,-14.36579894,-4.112672868,-2.823156766,287.51955955,47,45.625,100
1987-04-23,"Thursday",112,-15.4335443,NA,-13.37712141,0.3634810157,-2.296663351,112.51955955,52,43.75,86.875
1987-04-24,"Friday",108,-25.4335443,NA,4.2539927242,-3.01709755,-4.167335371,-292.1093381,49,30.75,51.875
1987-04-25,"Saturday",130,-11.4335443,NA,3.4932474511,0.2293586532,2.5883634429,-103.7090383,51,32.5,43.5
