X1 X2 X3 X4
-2.1 -1.23 1.05 1.21
-0.33 -0.92 1.04 1.18
-0.22 -0.66 -0.75 -0.98
0.42 1.47 0.22 0.2
-1.34 0.24 0.01 0.13
1.3 0.84 -1.56 -1.75
-1.78 -0.68 0.81 0.81
-0.23 -1.48 -1.92 -1.89
-0.28 -1.7 -1.32 -1.16
-0.81 -1.87 0.92 1.07
-1.03 -0.06 -0.52 -0.56
-0.64 0.43 -0.28 -0.15
-0.67 -0.66 -1.64 -1.6
0.07 -0.06 -1.47 -1.43
0.86 0.96 0.34 0.36
0.85 0.91 -0.09 -0.26
-1.8 -1.35 -0.7 -0.48
0.92 -0.38 -1.35 -1.32
-1.28 -0.84 -1.18 -1.01
-0.04 -0.28 2.06 2
-0.12 0.18 -0.33 -0.32
-0.93 -0.3 0.72 0.82
-1 -0.5 0.82 0.75
-0.59 0.82 0.7 0.82
0.02 0.1 0.28 0.31
-1.54 -1.64 -1.12 -1.38
-0.7 -1.02 -0.88 -1.13
1.71 0.69 0.91 0.59
-1.19 0.1 -1.27 -1.34
0.3 0.73 0.46 0.59
-0.81 0.46 -0.56 -0.51
-0.52 -0.75 -0.48 -0.31
0.96 -0.81 -0.89 -0.68
0.49 -0.18 -0.19 -0.27
0.6 0.89 0.84 0.91
0.31 -0.7 0.38 0.53
-0.85 -0.73 -0.28 -0.18
-1.07 -1.32 0.8 0.93
-2.37 -2.32 1.76 1.54
0.57 0.42 0.2 -0.21
0.32 -0.28 0.42 0.52
0.48 1.45 0.33 0.23
0.31 -1.24 -1 -0.96
0.46 0.73 -0.94 -0.91
0.6 0.29 1.88 1.95
-0.29 -1.94 0.8 0.95
-0.03 0.03 0.74 0.74
1.23 1.7 0.18 0.11
-0.12 -1.71 0.46 0.51
-0.33 0.44 0.17 0.13
0.66 0.55 -0.01 0.09
-0.39 -0.04 0.14 0.3
0.67 0.71 -1.09 -0.93
0.42 0.57 2.44 2.35
-1.17 -0.37 0.76 0.84
-0.43 0.68 -0.14 -0.36
0.03 -0.56 1.23 1.19
0.7 0.16 -0.71 -0.54
-1.43 -0.61 1.7 1.71
-0.67 0.48 -0.24 -0.54
0.04 0.06 -2.45 -2.18
0.65 -0.08 1.37 1.35
-0.08 0.41 1.03 1.23
-1.22 -0.73 -0.64 -0.9
-1.29 -0.5 -1.44 -1.38
-0.21 -0.82 -1.91 -1.75
-0.72 -1.65 -0.27 -0.27
2.32 1.35 -1.85 -1.81
-0.2 0.33 -0.78 -0.84
-0.58 -0.16 -0.01 0.33
-0.15 -0.21 0.76 0.95
0.04 -0.76 -0.94 -0.7
0.12 -0.28 -0.09 -0.15
-0.38 0.02 0.29 0.22
-0.33 -0.83 1.61 1.82
-0.22 -0.47 -0.96 -0.96
-0.47 -0.88 -1.75 -1.45
-1.33 -0.17 -1.81 -1.88
0.52 0.56 0.63 0.48
-0.42 -0.56 -0.09 -0.03
0.99 1.72 0.74 0.8
0.3 -0.06 -0.1 -0.18
1.16 0.46 0.41 0.38
-0.75 -0.13 0.32 0.12
-1.99 -2.15 0.09 -0.05
-0.42 0.45 -0.46 -0.78
1.17 0.92 1.17 1.35
-0.1 -0.04 -0.37 -0.44
-0.05 -0.77 0.7 0.63
-0.05 0.53 0.14 0.19
0.34 -0.32 1.62 1.94
-1.05 -0.73 0.67 0.75
1.52 1.54 -0.37 -0.31
-0.07 -0.34 0.1 -0.12
-0.88 -1.92 -0.13 -0.12
-1.39 -1.08 -2.12 -2.05
0.76 0.21 1.66 1.73
0.7 1.87 1.05 1.07
0.66 1.42 -0.81 -0.72
-0.02 0 0.42 0.34
1.03 0.71 0.29 0.19
0.89 0.56 -1.14 -1.12
-0.35 0.51 1.52 1.46
-0.1 0.16 -0.21 -0.29
1.52 1.34 0.12 0.24
-2.67 -1.76 0.43 0.38
0.38 -0.07 -0.94 -1.04
-0.31 -0.43 -1.05 -1.11
-1.47 -1.74 -0.02 -0.08
-0.45 -0.83 0.54 0.61
-0.46 0.2 0.05 0.1
-0.18 -0.67 0.68 0.73
1.09 0.72 0.34 0.33
1.2 0.07 0.52 0.57
-2.09 0.04 -1.37 -1.43
0.8 0.2 0.73 0.62
-0.19 1.63 -0.78 -0.8
-1.59 -0.61 -0.34 -0.59
-0.39 -0.06 -0.2 -0.01
1.36 1.69 -1.55 -1.74
0.28 0.64 -0.02 -0.18
0.4 1.28 -0.53 -0.35
1.11 2.13 -0.83 -0.61
0.17 0.06 -0.68 -0.43
-0.38 0.87 1.32 1.17
1.16 0.83 -1.24 -1.27
-0.08 0.1 -0.33 -0.1
0.57 0.14 -2.48 -2.45
-0.49 -0.49 -0.71 -0.64
-1.44 -0.08 -0.5 -0.5
-0.22 0.13 1.52 1.56
-0.32 -0.72 -0.99 -0.93
0.89 0.56 -0.73 -1.01
-0.21 -0.99 -1.33 -1.45
-0.45 -0.99 0.29 0.07
-1.2 -0.46 1.12 1.18
0.86 1.22 -1.37 -1.02
0.13 -0.84 -0.38 -0.47
-0.42 -0.68 1.31 1.42
-0.04 -0.19 -0.56 -0.8
0.11 -1 0.46 0.9
1.73 1.35 0.42 0.36
0.39 0.88 -1.21 -1.4
-0.09 -1.25 1.25 1.18
1.2 -0.65 0.7 0.89
0.24 0.23 -0.49 -0.48
1.48 0.59 -0.89 -0.92
-0.63 0.05 -0.25 -0.53
0.19 1.33 0.82 0.8
1.01 1.16 -0.57 -0.55
1.24 2.4 -1.9 -1.84
0.73 -0.8 -0.13 -0.15
0.3 -0.16 0.78 0.76
0.79 1.48 -1.05 -1.26
1.06 -0.54 -0.21 -0.27
0.04 0.36 -1.26 -1.18
1.29 1.25 0.08 0.16
0.76 0.88 -0.04 -0.22
0.03 0 -0.12 0.06
-1.32 -1.69 -0.64 -0.6
-0.52 0.33 -0.67 -0.75
1.17 0.91 0.89 0.85
-0.96 0.02 -0.06 0.27
-2.32 -1.93 -0.15 -0.23
0.23 0.28 -3.23 -3.18
-1.22 0.07 -1.16 -1.39
-0.11 -0.1 0.87 0.65
0.25 -0.46 -0.26 -0.55
-0.94 -1.24 -1.25 -1.16
-0.44 0.12 -0.45 -0.43
-0.21 -0.75 -0.49 -0.26
-0.37 -0.04 -0.51 -0.49
0.06 -1.08 0.44 0.55
-0.37 -0.44 1.38 1.66
-0.58 -0.46 0.94 1.03
2.07 1.28 1.2 1.29
0.68 0.42 -0.36 -0.3
0.06 0.5 0.9 0.79
2.09 1.08 -0.96 -0.99
-1.26 -0.38 -0.12 -0.16
0.19 0.87 2.18 2.18
-1.12 -0.75 0.01 -0.04
-0.36 -0.53 -0.25 -0.35
0.45 0.5 -0.44 -0.72
-0.38 -0.65 0.79 0.75
-0.18 -0.71 2.12 2.08
1.24 1.47 0.41 0.42
2.28 0.66 -0.36 -0.16
-1.53 0.18 2.09 2.05
-0.52 0.45 -0.85 -0.71
1.21 0.62 1.2 1.05
-1.66 -1.78 -0.5 -0.34
-0.31 -0.5 -1.09 -0.95
1.05 0.68 1.28 1.15
0.16 0.55 -1.73 -1.86
-0.52 -0.04 -0.2 -0.41
-0.92 -0.93 0.14 -0.11
0.59 0.91 -0.42 -0.46
1.51 1.19 -1.6 -1.66
-2.54 -1.5 -0.6 -0.68
-0.95 0.2 -1.58 -1.53
2.19 1.39 1.86 1.97
-0.41 1.31 -1.85 -1.85
-0.82 0.45 -2.12 -2.09
-0.94 -1.22 0.64 0.75
-0.33 -0.35 1 0.81
0.64 0.76 -0.33 -0.06
0.5 -0.13 -0.22 -0.2
-0.64 -0.2 0.68 0.76
-0.62 -1.07 1.35 1.44
-0.48 0.28 -1.57 -1.6
-0.4 -1.82 1.24 1.37
2.93 2 0.3 0.09
1.86 1.04 -0.43 -0.25
0.87 0.38 1.35 1.17
0.61 -0.39 0.99 0.88
-0.19 -0.67 1.41 1.14
1.96 1.44 -0.21 -0.37
-2.21 -0.17 0.86 0.69
0.65 1.12 0.43 0.16
0.61 -0.18 -0.55 -0.48
0.74 0.85 1.74 1.77
1.31 1.29 0.2 0.12
0.19 -0.21 -0.02 -0.09
0.16 0.22 0.64 0.42
-2.84 -2.3 0.34 0.44
-0.57 0.28 -0.78 -0.63
-0.1 1.63 0.05 -0.15
1.95 2.09 2.61 2.59
-0.86 -1.25 -0.04 -0.1
-0.01 0.44 -0.23 -0.36
0.24 -0.19 0.69 0.77
1.58 0.97 0.43 0.37
-0.07 -0.38 -0.6 -0.47
-0.89 0.88 -1.08 -1.08
-0.97 -0.81 0.89 0.8
0.08 -0.12 0.08 0.16
-1.03 -1.11 0.47 0.49
0.1 -0.39 -0.18 -0.4
-0.63 -0.48 -1.68 -1.62
0.08 -0.39 0.08 0.06
-0.93 -0.34 2.36 2.41
1.79 1.27 -1.55 -1.36
-0.54 -0.52 -0.96 -1.01
-0.12 0.05 -1.45 -1.22
0.63 -1.36 -0.36 -0.37
0.4 0.92 1.4 1.35
2.05 0.28 -0.23 -0.07
-0.13 -0.52 -0.23 -0.28
-0.87 -1.02 -1.34 -1.23
0.57 0.18 0.13 0
-0.06 1.04 1.06 1.01
0.38 -1.05 2.33 2.18
1.48 -0.22 1.28 1.34
0.14 0.24 -0.81 -0.93
-1.55 -0.82 -0.5 -0.5
0.12 1 0.76 0.45
-1.36 -0.84 -0.03 0.01
0.96 1.48 0.21 0.34
0.47 0.22 -1.21 -1.41
1.35 1.67 -0.44 -0.41
-1.51 1.33 -0.89 -0.96
-1.84 -1.04 -0.91 -0.94
-1.45 -1.12 -0.72 -0.72
1.54 0.83 -0.44 -0.38
-0.83 -0.29 0.03 -0.04
-1.34 -0.47 0.67 0.59
0.78 -0.22 -0.51 -0.5
0.14 -0.61 -0.72 -0.99
-1.53 -0.44 1.61 1.61
-2.28 -2.39 1.04 0.95
-1.18 0.35 0.68 0.71
0.66 -0.01 1.66 1.74
-1.1 0.46 -0.96 -0.99
-0.44 0.17 2.01 2.07
-0.13 -0.71 1.33 1.12
-0.22 0.65 0.44 0.17
0.82 0.48 0.49 0.75
1.5 0.94 -0.02 0.14
-1.72 -1.18 -0.04 -0.18
0.32 0.09 -1.61 -1.54
0.02 -0.49 0.84 0.64
0.75 1.19 2.21 2.06
2.13 1.96 2.07 2.1
-0.46 0.44 0.03 0.31
0.52 0.27 -0.05 -0.16
0.62 1.33 0.16 0.2
1.44 1.36 1.09 1.19
0.97 1.25 1.5 1.45
-2.24 -1.55 0.45 0.36
-0.37 -1.76 1.05 1.17
-0.2 -0.36 -0.1 0.04
2.34 1.17 0.38 0.62
0.06 0.2 1.13 1.23
-0.25 0.42 3.59 3.67
-0.08 0.27 -0.06 -0.05
0.58 0.52 -0.76 -0.57
2.03 0.32 0.45 0.44
0.82 1.04 -0.33 -0.48
-1.72 -2.64 0.73 0.54
-2.1 -1.78 0.33 0.35
0.31 -0.46 1.29 1.33
0.32 1.07 -0.92 -0.99
-1.16 -1.75 -1.18 -1.22
0.68 0.62 1.53 1.59
-1.34 -0.59 0.17 0.28
0.63 -0.15 -0.84 -1
-0.09 0.08 -1.04 -1.1
-1.42 -0.75 -0.57 -0.54
1.04 2.18 0.59 0.58
1.5 -0.17 -0.74 -0.31
3.26 2.02 1.28 1.4
0.65 0.67 0.19 0.3
0.37 -0.98 0.31 0.08
0.01 -0.25 -0.03 0
-0.91 -0.1 -0.33 -0.26
-0.99 -1.37 -0.1 -0.23
-2.13 -1.87 1.18 1.12
0.36 -0.36 -1.33 -1.34
1.29 1.56 1.26 0.91
0.81 -0.1 -0.2 -0.5
0.06 -0.64 0.79 0.68
0.63 0.83 -0.09 -0.03
0.43 -0.08 -1.33 -1.36
-0.18 1.25 0.31 0.38
0.23 0.72 -0.79 -0.49
0.05 -0.36 1.11 1.13
0.64 1.28 -0.85 -0.8
-0.64 1.23 -1.77 -1.8
-1.56 -1.31 -0.82 -0.89
0.47 0.69 -0.49 -0.65
1.59 2.05 -0.89 -0.76
-0.38 0.94 -0.24 -0.24
2 1.67 -0.57 -0.62
0.86 0.03 -0.44 -0.38
0.67 0.33 0.25 0.41
0.03 -0.46 -1.19 -1.13
-1.44 -2.35 0.73 0.79
-0.98 -1.13 -0.02 0.01
0.17 -0.5 -0.09 0.01
-1.02 -1 -2.08 -1.98
-2 -0.89 -0.29 -0.31
-0.1 0.01 -0.57 -0.54
-0.6 -0.5 0.72 0.97
3.09 1.37 1.49 1.29
-0.16 0.36 1.22 1.23
0.66 0.17 -1.07 -1.15
0.35 0.56 -0.83 -0.75
-0.23 0.32 -0.14 -0.04
0.53 0.68 -1.05 -1.06
1 -0.02 -1.47 -1.73
0.72 0.71 0.81 0.77
0.48 1.35 0.16 -0.02
1.29 0.63 0.54 0.68
0.17 -0.07 -1.25 -1.15
-1.03 -1.3 -0.39 -0.29
-2.35 -2.55 -1.04 -1.3
-0.29 -0.54 -0.86 -0.79
-1.52 -1.28 0.17 0.28
-0.09 -0.49 -0.83 -0.8
-0.67 0.23 -0.99 -0.99
0.76 -0.22 -1.26 -1.35
1.37 1.72 -1.34 -1.52
1.61 1.52 -0.91 -0.81
1.37 0.32 1.66 1.74
-0.2 0.62 -0.58 -0.73
0.4 0.37 -1.08 -1.14
0.18 -0.27 -1.54 -1.26
-1.24 -1.7 -0.14 -0.16
1.66 1.93 -0.45 -0.34
0.7 1.49 0.31 0.19
1.32 0.84 -0.35 -0.21
-0.83 -0.11 0.84 0.89
0.53 0.54 0.7 0.74
0.54 0.37 1.07 1.03
-1.37 -1.52 0.33 0.16
-0.09 -0.22 1.11 1.11
0.46 0.24 -0.16 0.01
0.46 0.28 0.79 1.08
-0.34 -0.82 -0.2 -0.11
1.19 2.28 -0.55 -0.81
1.93 1.49 -1.3 -1.13
1.16 0.12 -0.78 -0.64
-0.77 -0.41 -0.77 -0.72
-0.94 -0.79 0.54 0.61
-2 -0.39 -0.15 0.04
-1.34 0.14 -0.65 -0.6
-1.15 -2.24 -0.95 -0.84
0.66 0.25 1.44 1.57
-1.1 -1.6 -0.34 -0.13
-0.76 -1.45 -1.3 -1.19
0.53 0.72 -0.47 -0.39
0.92 -0.17 0.08 0.11
1.47 0.63 0.78 0.88
0.24 0.68 0.05 -0.22
0.06 -0.18 0.06 0.16
0.6 0.21 -1 -1.07
-1.95 -0.86 0.77 0.82
0.14 0.06 0.1 0.1
0.33 0.02 0.55 0.92
0.39 1.05 1.54 1.54
0.13 -0.22 0.24 0.11
-0.05 0.23 -0.34 -0.22
-1.02 -1.44 -0.99 -0.54
0.19 0.82 -0.59 -0.56
-1.94 -1.57 -0.94 -0.89
-0.2 0.58 0.38 0.36
0.42 0.33 -1.44 -1.49
0.66 1.97 -1.73 -1.76
0.92 0.79 -0.82 -0.51
0.68 1.21 0.98 1.18
-1.93 -1.38 0.07 0.17
1.08 1.87 -0.37 -0.62
-0.27 -0.53 0.72 0.61
2.83 2.05 -0.35 -0.35
-0.74 -0.5 -0.03 -0.2
-1.47 -0.7 0.09 0.05
1.16 0.16 1.19 0.98
-0.53 0.51 1.28 1.3
1.15 1.18 1.32 1.24
-0.52 -0.36 1.06 0.89
-0.6 -1.14 0.4 0.26
0.68 0.72 1.89 1.86
0.12 -0.58 2.01 2.06
1.53 0.46 1.31 1.34
0.83 0.36 -0.26 -0.18
-0.51 0.09 -1.12 -0.95
0.51 -0.19 0.12 0.27
0.29 0.39 -0.57 -0.54
-1.1 -1.05 0.17 0.38
-0.52 -0.55 -0.51 -0.59
0.66 -0.11 1.03 0.81
2.56 0.86 2.11 2.26
0.97 0.52 1.01 0.91
0.27 0.63 0.79 0.69
0.9 0.8 0.01 0.06
0.53 0.32 2.19 2.16
-0.1 -1.1 -0.02 -0.14
0.96 1.28 1.44 1.31
-0.86 -1.15 1.61 1.53
-1.11 -0.68 0.23 0.09
0.23 0.34 -3.24 -3.25
1.75 1.37 -0.36 -0.3
-1.25 0.2 0.49 0.43
1.34 0.6 -1.25 -1.36
-0.25 -0.08 -1.28 -1.29
0.3 0.59 0.83 0.98
-1.85 -0.8 -2.82 -2.76
-0.94 -1.02 0.29 0.17
2.1 1.39 -0.19 -0.34
0.49 -0.44 -0.77 -0.55
-0.59 0.72 0.03 0.1
-2.46 -2.28 0.05 0.06
1 1.25 0.28 0.21
0.06 -0.31 0.04 0.21
0.91 -0.07 -0.39 -0.68
0.06 0.61 0.29 0.22
0.6 0.12 1.47 1.3
-0.79 0.05 0.64 0.69
1.43 2.05 1.47 1.52
0.71 -0.46 -0.23 -0.31
-0.28 -0.03 0.68 0.48
0.76 2.23 0.56 0.45
-0.37 -0.31 -0.78 -0.71
-1.14 -1.34 -0.8 -0.83
-2.44 -1.41 1.9 1.83
