Y X1 X2 X3 X4
1 1.07 0.5 -0.51 -0.74
2 -0.7 -1 0.13 0.23
1 1.33 0.32 -0.94 -0.73
2 -1.18 -0.56 1.55 1.63
3 -0.12 1.12 0.18 0.48
1 0.19 -0.53 -0.78 -0.86
1 1.52 0.12 0.6 0.37
2 1.2 1.25 0.82 0.65
3 0.64 -0.83 0.71 0.44
1 1.18 -0.04 -0.34 -0.27
2 -1.46 -1.85 1.56 1.46
3 -0.08 -0.41 0.3 0.48
2 -1.61 -0.63 -0.65 -0.59
1 1.05 -0.68 -2.22 -2.2
1 0.12 -0.14 1.05 1.19
2 -0.27 -0.16 -0.02 -0.07
3 -0.46 0.11 -0.02 -0.01
3 -0.2 1.95 0.92 0.96
3 -0.27 -0.02 0.84 0.8
3 1.31 2.11 0.61 0.57
2 -1.73 -1.78 0.93 0.9
3 0.93 -0.27 0.7 0.86
1 2.32 1.58 0.08 0.07
2 -1.76 -0.34 -2.07 -1.9
2 -0.68 -0.79 0.65 0.59
3 -0.77 0.03 -0.21 0.1
3 -0.58 0.75 0.04 -0.35
1 -0.67 0.23 -1.45 -1.49
2 -0.97 0.11 -0.58 -0.37
3 1.39 2.16 0.42 0.42
2 0.63 -0.41 1.18 1.53
1 0.32 1.69 -0.08 -0.12
2 -2.6 -2.88 0.23 0.55
1 1.06 1.02 -0.08 -0.02
1 1.16 1.26 -1.38 -1.36
2 -0.45 -0.44 -0.44 -0.39
2 -0.35 -0.07 -0.45 -0.33
1 1.5 1.58 -0.01 -0.11
2 0.68 -0.61 1.16 1.04
1 1.56 0.35 0.65 0.88
1 0.71 0.37 -0.17 -0.16
3 -0.32 0.02 -0.33 -0.17
2 0.2 -0.74 0.64 0.75
2 -1.86 -0.76 0.62 0.49
2 -1.99 -1.95 -0.8 -0.57
3 0.06 -0.1 -0.66 -0.75
3 0.54 -0.04 0.32 0.41
2 -0.61 -0.32 0.77 0.76
1 1.5 -0.34 -0.01 -0.21
3 0.09 0.78 0.89 0.87
3 -0.72 0.09 0.34 0.45
1 0.96 -0.87 -0.55 -0.67
1 1.41 0.98 0.29 0.39
1 0.12 0.46 -1.03 -1.23
3 0.38 1.1 1.51 1.35
2 0.63 0.26 2.01 1.94
1 1.68 1.5 -0.35 -0.39
3 -0.42 0.61 -1.06 -1.02
2 -0.95 -0.87 0.44 0.7
3 -0.2 -0.65 -0.04 -0.23
3 0.39 0.04 2.4 2.39
2 -0.71 0.21 -0.09 0.02
3 0.61 -0.92 0.65 0.72
3 0.2 1.03 -0.04 0.1
2 -0.64 -0.79 -0.74 -0.74
2 -1.35 -2.19 0.13 0.25
1 1.89 1.83 -2 -1.61
3 0.97 -0.17 1.45 1.47
1 2.02 -0.08 0.02 0.28
3 0.14 -0.72 2.15 2.18
3 0.47 -0.3 0.41 0.54
2 -2.38 -1.59 -0.67 -0.75
1 0.99 -0.33 0.61 0.61
1 0.41 0.45 -0.83 -1.03
2 -0.68 -0.99 -1.26 -1.24
2 -0.44 -0.53 0.17 0.41
1 1.17 1.31 -0.44 -0.44
1 1.24 -0.37 0.07 -0.07
3 0.56 -1.03 0.06 0.09
